index,Place_name,Address1,Hours,Phone,Location,Reviewscount,Total_score,website,Category,Claimed,Latitude,Longitude,Place_id,Cid,Featured_Image,reviewurl
1,"Food ways","ganeshmandir 14, Kathmandu 44600","Friday:[11 AM–8 PM],Saturday:[11 AM–8 PM],Sunday:[11 AM–8 PM],Monday:[11 AM–8 PM],Tuesday:[11 AM–8 PM],Wednesday:[11 AM–8 PM],Thursday:[11 AM–8 PM]","9808337778","https://www.google.com/maps?cid=13124541026910366311",2,5,"","Restaurant","no",27.6890663,85.29920589999999,"ChIJNUuXhBYZ6zkRZ2oI9Ya8I7Y","0x39eb191684974b35:0xb623bc86f5086a67","","https://search.google.com/local/reviews?placeid=ChIJNUuXhBYZ6zkRZ2oI9Ya8I7Y&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
2,"Unique Cafe","M7QX+CG4, विश्वविद्यालय पथ, Kathmandu 44600","Friday:[9 AM–10 PM],Saturday:[9 AM–10 PM],Sunday:[9 AM–10 PM],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM],Thursday:[9 AM–10 PM]","","https://www.google.com/maps?cid=1668741021773863019",9,3.4,"","Restaurant","no",27.6885019,85.2988262,"ChIJmZpYDUQY6zkRaxj0MB6PKBc","0x39eb18440d589a99:0x17288f1e30f4186b","https://lh3.googleusercontent.com/gps-proxy/ALd4DhH0FEmJulOhFgx7y2uAXFXLRYVhITCqEYu5B4ovpEkutKDy5aacKfYH9DNw4PbfvzKBVy20z_wMiJf38ufQdthL4sl6l37CTQ8LD6zUUvxX92xdbXgw56U4gG41bjeqEI94U6DjGdK4C9XotPAz0OSPPpX3wClHHyYLlxxKHCo02fIV6aXLnCkxWuL75QoWqMXFqQ","https://search.google.com/local/reviews?placeid=ChIJmZpYDUQY6zkRaxj0MB6PKBc&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
3,"Food Bagaan","Kathmandu 44600","Friday:[7 AM–10 PM],Saturday:[7 AM–10 PM],Sunday:[7 AM–10 PM],Monday:[7 AM–10 PM],Tuesday:[7 AM–10 PM],Wednesday:[7 AM–10 PM],Thursday:[7 AM–10 PM]","015906311","https://www.google.com/maps?cid=2896560708208002272",100,4.4,"","Asian restaurant","yes",27.7037393,85.3336351,"ChIJ5Y0ief0Z6zkR4IQXE56mMig","0x39eb19fd79228de5:0x2832a69e131784e0","https://lh5.googleusercontent.com/p/AF1QipMIBj3YcROjgmtlUayhrewv7PeqyU-vFmLwfEQZ","https://search.google.com/local/reviews?placeid=ChIJ5Y0ief0Z6zkR4IQXE56mMig&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
4,"DG cafe","M7RX+CGH, University Path, Kathmandu 44600","","","https://www.google.com/maps?cid=8655677759039585736","","","","Restaurant","no",27.691051899999998,85.2988519,"ChIJjZf8PncZ6zkRyL3N5Q8lH3g","0x39eb19773efc978d:0x781f250fe5cdbdc8","",""
5,"Chicken Station Maitidevi","P83M+FCR, Bhanu Galli, Kathmandu 44600","Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM],Thursday:[9 AM–9 PM]","9851359866","https://www.google.com/maps?cid=11650639765423893755",32,3.3,"","Chicken restaurant","no",27.7037467,85.3335077,"ChIJufujmj8Z6zkR-6whkCNjr6E","0x39eb193f9aa3fbb9:0xa1af63239021acfb","https://lh5.googleusercontent.com/p/AF1QipP-C0AVKurxM882MToSRd64iunz9lYIp66_faxn","https://search.google.com/local/reviews?placeid=ChIJufujmj8Z6zkR-6whkCNjr6E&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
6,"Maitidevi Burger House And Crunchy Fried Chicken - Maitidevi","P83M+95R, Birendra Marg, Kathmandu 44600","","9762790926","https://www.google.com/maps?cid=2940016869305563345",17,1.7,"","Restaurant","no",27.7034129,85.333854,"ChIJ97LJmbkZ6zkR0TidCMQJzSg","0x39eb19b999c9b2f7:0x28cd09c4089d38d1","https://lh5.googleusercontent.com/p/AF1QipMN5-rSt0xymMbc2IRLzxOfJw2LuXw_FJthR_vk","https://search.google.com/local/reviews?placeid=ChIJ97LJmbkZ6zkR0TidCMQJzSg&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
7,"Yo Momo","P84M+5JG next to Maitidevi Temple, Kathmandu 44600","","9704569442","https://www.google.com/maps?cid=1773894687787356505",4,5,"yomomo.com.np","Restaurant","no",27.7054431,85.3340632,"ChIJY4QfAaAZ6zkRWZGE7tEjnhg","0x39eb19a0011f8463:0x189e23d1ee849159","https://lh5.googleusercontent.com/p/AF1QipP-J-LehOcSL_3FdE6JkwP1N_rlV-24pUk1DdDE","https://search.google.com/local/reviews?placeid=ChIJY4QfAaAZ6zkRWZGE7tEjnhg&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
8,"Kaulachhen Newari Khaja Ghar","Pashupati Sadak, Ktm 44600","Friday:[9 AM–9 PM],Saturday:[9 AM–9 PM],Sunday:[9 AM–9 PM],Monday:[9 AM–9 PM],Tuesday:[9 AM–9 PM],Wednesday:[9 AM–9 PM],Thursday:[9 AM–9 PM]","9816339767","https://www.google.com/maps?cid=12612987811962614989",38,4.1,"","Traditional restaurant","yes",27.708084099999997,85.3348956,"ChIJoRwYmHwZ6zkRzfRcqJZVCq8","0x39eb197c98181ca1:0xaf0a5596a85cf4cd","https://lh5.googleusercontent.com/p/AF1QipOBL-Bw4GRan84WfTQKJpzoApNI0TNONVqRZQtb","https://search.google.com/local/reviews?placeid=ChIJoRwYmHwZ6zkRzfRcqJZVCq8&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
9,"The Kitchen Cafe","P84M+FF8 Opposite of Maitidevi temple, Kathmandu 44600","Friday:[7:30 AM–8 PM],Saturday:[7:30 AM–8 PM],Sunday:[7:30 AM–8 PM],Monday:[7:30 AM–8 PM],Tuesday:[7:30 AM–8 PM],Wednesday:[7:30 AM–8 PM],Thursday:[7:30 AM–8 PM]","9765979335","https://www.google.com/maps?cid=11737633021709164366",3,5,"","Fast food restaurant","no",27.706152499999998,85.3337074,"ChIJmTYFJQAZ6zkRTp_eagtz5KI","0x39eb190025053699:0xa2e4730b6ade9f4e","https://lh5.googleusercontent.com/p/AF1QipMXzofWBQflopODLNcNtJ5OslmMqibMfY9FTFdH","https://search.google.com/local/reviews?placeid=ChIJmTYFJQAZ6zkRTp_eagtz5KI&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
10,"Maitidevi Fast Food and stick food","Maitidevi-29, Kathmandu 44600","","","https://www.google.com/maps?cid=9005488880397317631","","","","Fast food restaurant","no",27.702810399999997,85.3342371,"ChIJKzsXYgAZ6zkR__XPcGzs-Xw","0x39eb190062173b2b:0x7cf9ec6c70cff5ff","https://lh5.googleusercontent.com/p/AF1QipOZs4ZKrQWID845BG121ZvfCfGDz6ozkL6uy7Kg",""
11,"Valley Top MoMo Center, Kuleshwor","M7RX+FFW, Kathmandu 44600","","9841147354","https://www.google.com/maps?cid=15311043245027782858","","","","Restaurant","no",27.691233399999998,85.29868859999999,"ChIJRfnjNgAZ6zkRynCGwLXAe9Q","0x39eb190036e3f945:0xd47bc0b5c08670ca","https://lh5.googleusercontent.com/p/AF1QipO7XE3deusqqXXGaMzuK5zmfLldiTISpHNMWyBy",""
12,"Bashu Khaja Ghar","M8R2+527, Kushleshwar Marg, Kathmandu 44614","Friday:[5 AM–9 PM],Saturday:[5 AM–9 PM],Sunday:[5 AM–9 PM],Monday:[5 AM–9 PM],Tuesday:[5 AM–9 PM],Wednesday:[5 AM–9 PM],Thursday:[5 AM–9 PM]","","https://www.google.com/maps?cid=2174676317290466957","","","","Fast food restaurant","no",27.6904158,85.30004629999999,"ChIJGRH9-UQY6zkRjY6NsZYALh4","0x39eb1844f9fd1119:0x1e2e0096b18d8e8d","https://lh3.googleusercontent.com/gps-proxy/ALd4DhHfxoqr8QYsSjbpJLQz1J6zGtiGC7NuemlqDtyQXcZTWYwxY7oLcaiQPuz3L9cFLBOieevexSqivucxqdiXvSJ176dK4xygFP7H9gsfTM8ucv7M5CKKiIzU1AKMjxwKfyADQ8eQRMfW3FW_fQK7zOcJ3HTk4OsAfFk4UxR17SwUdAhDDHot6dUoUEMZ7wIlWUuV4Qw",""
13,"Sri Sathya Sai Baba Restaurant","M7RX+5W8, Kushleshwar Marg, Kathmandu 44614","Friday:[6 AM–6 PM],Saturday:[6 AM–6 PM],Sunday:[6 AM–6 PM],Monday:[6 AM–6 PM],Tuesday:[6 AM–6 PM],Wednesday:[6 AM–6 PM],Thursday:[6 AM–6 PM]","","https://www.google.com/maps?cid=6788489436578272077","","","","Vegetarian restaurant,Brasserie","no",27.690412799999997,85.29983159999999,"ChIJKUHA9kQY6zkRTVO99CyPNV4","0x39eb1844f6c04129:0x5e358f2cf4bd534d","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGcBU8bpWqRTFsPOuvtDnRhNMYlKE2fiuAzgv2Qm2vx4UeQGHMXwOXu5RhUHXTKekXR66C0SBsLxOabNJIV0bSnzMOXRUlF_lkcPnQnuidRhro6KzBT8210wMNLar-VCLMP0LVoZYsPsgjqKnkKdzbGjnXm4TVX94_YbN145kKyHGFobL4xc8NDYMU3YnkmFZFoNQ",""
14,"Maitidevi Khaja Ghar","P84M+9PQ, Janata Marg, Kathmandu 44600","Friday:[8 AM–8 PM],Saturday:[8 AM–8 PM],Sunday:[8 AM–8 PM],Monday:[8 AM–8 PM],Tuesday:[8 AM–8 PM],Wednesday:[8 AM–8 PM],Thursday:[8 AM–8 PM]","9841628287","https://www.google.com/maps?cid=2547761525188369601",12,3.7,"","Fast food restaurant","no",27.7059675,85.33434559999999,"ChIJ0VwoVXUZ6zkRwZxCyZt3WyM","0x39eb197555285cd1:0x235b779bc9429cc1","https://lh3.googleusercontent.com/gps-proxy/ALd4DhGGh8Y1EXuooaeW6nS5gH1RrJfZ2CzvbvEpIidWozQNmt9UMDv0uIHeI4OXMHavzpEmL_s_SJZv6ZAHom_uqMM4AO806xdiyIQPtF6TqJz8KBYfwBqnM4ckXhtjeadNBL7lD-muwuemQOnQyQfOd7_lLb-Ef4ChRieORRvTK3zBLDwWs-wHB9XW26DrWKF8IklPxp8","https://search.google.com/local/reviews?placeid=ChIJ0VwoVXUZ6zkRwZxCyZt3WyM&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
15,"Dori Restro, Maitidevi","P83M+9FR, Dilli Bazaar Sadak, Kathmandu 44600","Friday:[8 AM–10 PM],Saturday:[8:30 AM–10 PM],Sunday:[8 AM–10 PM],Monday:[8 AM–10 PM],Tuesday:[8 AM–10 PM],Wednesday:[8 AM–10 PM],Thursday:[8 AM–10 PM]","9808069911","https://www.google.com/maps?cid=12718306501469797707",48,3.4,"","Family restaurant","no",27.7034889,85.3336329,"ChIJZQD3Fu0Z6zkRS_2l7GCAgLA","0x39eb19ed16f70065:0xb0808060eca5fd4b","https://lh5.googleusercontent.com/p/AF1QipPje-62l9E-FbHCggM9qCYye2kR1CCCAfninDJu","https://search.google.com/local/reviews?placeid=ChIJZQD3Fu0Z6zkRS_2l7GCAgLA&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
16,"Laddu Gopal","M7QX+WPC, Kathmandu 44614","","","https://www.google.com/maps?cid=11162002064937776016",6,3.8,"","Indian restaurant","no",27.689742499999998,85.2992936,"ChIJIaprJ6EZ6zkRkPPKPr1l55o","0x39eb19a1276baa21:0x9ae765bd3ecaf390","https://lh5.googleusercontent.com/p/AF1QipMSSvyKQashyDQa9_jkGiOTLCrXGb7gE2GE-Zrl","https://search.google.com/local/reviews?placeid=ChIJIaprJ6EZ6zkRkPPKPr1l55o&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
17,"Buingal Lounge Bar","मैतीदेवी मार्ग, Kathmandu 44605","Friday:[11 AM–10 PM],Saturday:[11 AM–10 PM],Sunday:[11 AM–10 PM],Monday:[11 AM–10 PM],Tuesday:[11 AM–10 PM],Wednesday:[11 AM–10 PM],Thursday:[11 AM–10 PM]","014521393","https://www.google.com/maps?cid=14848180997924595894",431,4,"facebook.com","Bar & grill","yes",27.7046033,85.33268249999999,"ChIJ43DYa6AZ6zkRtigA1vJVD84","0x39eb19a06bd870e3:0xce0f55f2d60028b6","https://lh5.googleusercontent.com/p/AF1QipNt4gl1t6LrULFbCBACQ0TBtx_yYv3k_q7WVjNm","https://search.google.com/local/reviews?placeid=ChIJ43DYa6AZ6zkRtigA1vJVD84&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
18,"Daju Bhai Restaurant","M7PX+8C6, Kathmandu 44600","","9818572520","https://www.google.com/maps?cid=1361432162372845612",4,2.5,"","Fast food restaurant","no",27.6857842,85.2985145,"ChIJIZCkBzoZ6zkRLIAGqFbH5BI","0x39eb193a07a49021:0x12e4c756a806802c","https://lh5.googleusercontent.com/p/AF1QipMRoi3i8YC5N5zCzJ33lB5IeMJHdpQh1cpeIAJp","https://search.google.com/local/reviews?placeid=ChIJIZCkBzoZ6zkRLIAGqFbH5BI&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
19,"Balcony restro & bar","M7RX+GJW, Kathmandu 44600","Friday:[8 AM–9 PM],Saturday:[8 AM–9 PM],Sunday:[8 AM–9 PM],Monday:[8 AM–9 PM],Tuesday:[8 AM–9 PM],Wednesday:[8 AM–9 PM],Thursday:[8 AM–9 PM]","","https://www.google.com/maps?cid=14106532442392002615",2,3.5,"","Restaurant","no",27.691357699999998,85.2990672,"ChIJWyjZ4lYZ6zkRN4BMSYR4xMM","0x39eb1956e2d9285b:0xc3c47884494c8037","https://lh5.googleusercontent.com/p/AF1QipMayF_ScoBQCbZn8UUnS5AU3bz_bS40Mq-vDCRg","https://search.google.com/local/reviews?placeid=ChIJWyjZ4lYZ6zkRN4BMSYR4xMM&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"
20,"Feel Good Restaurant & Thakali Cuisine","Kuleshwor Road 14, Kathmandu 44600","Friday:[9 AM–10 PM],Saturday:[9 AM–10 PM],Sunday:[9 AM–10 PM],Monday:[9 AM–10 PM],Tuesday:[9 AM–10 PM],Wednesday:[9 AM–10 PM],Thursday:[9 AM–10 PM]","9808423804","https://www.google.com/maps?cid=5806711836126196454",49,4.6,"","Family restaurant","yes",27.6891075,85.2990086,"ChIJSRMreGwZ6zkR5rJbUaaVlVA","0x39eb196c782b1349:0x509595a6515bb2e6","https://lh5.googleusercontent.com/p/AF1QipOX2UTEq5kKYTqgrSkwWnP9T_oMoRpnDjW558JC","https://search.google.com/local/reviews?placeid=ChIJSRMreGwZ6zkR5rJbUaaVlVA&q=restaurants+near+maitidevi+temple+maitidevi+rd+kathmandu&authuser=0&hl=en&gl=NP"